date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:33	88646/88646	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/video_on_youtube.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/video_on_youtube.jpg	(from https://kchang.me/viewpure)
17:44:39	159910/159910	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/imac_preview.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/imac_preview.png	(from https://kchang.me/viewpure)
17:45:01	169012/169012	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_v0_main.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_v0_main.mp4	(from https://kchang.me/viewpure)
17:45:30	1363636/1363636	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/never.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/never.jpg	(from https://kchang.me/library)
17:45:35	350970/350970	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_v1_main.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_v1_main.mp4	(from https://kchang.me/viewpure)
17:45:38	36068/36068	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_v1_search.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_v1_search.png	(from https://kchang.me/viewpure)
17:45:44	143900/143900	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_v1_live.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_v1_live.png	(from https://kchang.me/viewpure)
17:45:53	95277/95277	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/redesign.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/redesign.png	(from https://kchang.me/viewpure)
17:45:55	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345481540	C:/My%20Web%20Sites/yash/kchang.me/css/main.minc8a1.css	(from https://kchang.me/joingiving)
17:45:56	2828/2828	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/case.min.css?v1547345481540	C:/My%20Web%20Sites/yash/kchang.me/css/case.minc8a1.css	(from https://kchang.me/joingiving)
